장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
가평오버더마운틴,경기가평군상면행현리,9.7,스텐다드B (마운틴뷰)3305호,0원,스텐다드B (마운틴뷰)3306호,0원,스텐다드B (마운틴뷰)3307호,0원,슈페리어(독채)V206호,0원,슈페리어(독채)V302호,0원,슈페리어(독채)V304호,0원,슈페리어(독채)V305호,0원,디럭스B(독채)V101호,0원,디럭스A(독채)V202호,0원,로열스위트B(독채)V301호,0원
청평1234스파펜션,쁘띠프랑스차량14분,9.8,203호(제트스파),0원,302호(제트스파),0원,202호(제트스파),0원,201호(제트스파),0원,301호(제트스파),0원,305호(제트스파),0원,,,,,,,,
풀빌라가평BROOK5(브룩5),자라섬차량13분,9.8,STANDARD 103,0원,STANDARD 404,0원,STANDARD 203,0원,STANDARD 504,0원,STANDARD 204,0원,STANDARD 403,0원,STANDARD 104,0원,STANDARD 102,0원,POOLVILLA 501,0원,KIDS 402,432000원
풀빌라가평에비뉴&amp;알리에키즈풀빌라,자연휴양림차량7분,9.1,포마(복층/제트스파),0원,스쿨버스풀빌라(미온수수영장/정글짐),0원,캔디(키즈정글짐/스파),0원,푸우키즈풀빌라(미온수수영장/정글짐),0원,플레이키즈풀빌라(미온수수영장/키즈정글짐),259000원,,,,,,,,,,
풀빌라가평안젤로키즈풀빌라,남송미술관차량15분,9.9,밸로,0원,루체,0원,안젤로,279000원,,,,,,,,,,,,,,
풀빌라가평까사벨라풀빌라,용추계곡차량27분,10,102호,259000원,103호,259000원,,,,,,,,,,,,,,,,
가평숲속의정원펜션,경기가평군북면목동리,9.8,로제,0원,보니르,0원,큐브 1,0원,아미띠에,120000원,키세스벨1,169000원,글램핑C,189000원,,,,,,,,
풀빌라가평어반힐스,경기가평군상면행현리,8.5,"스파1동(독채,스파)",0원,빌라202(실내수영장),0원,"키즈105(실내수영장,빔시어터)",0원,"빌라302(실내수영장,스파)",210000원,"키즈104(실내수영장,빔시어터)",270000원,,,,,,,,,,
풀빌라가평디오르풀빌라,경기가평군상면행현리,9.5,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
풀빌라가평프랜치캣,남이섬차량23분,8.9,"S-202호(복층,스파룸)",99000원,,,,,,,,,,,,,,,,,,
