장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
특급세인트존스호텔,강문해변앞,8.9,슈페리어 트윈 (마운틴뷰 / Room Only),297000원,슈페리어 헐리우드 (마운틴뷰 / Room Only),297000원,슈페리어 더블 (마운틴뷰 / Room Only),297000원,골져스 파셜오션 더블,341000원,골져스 파셜오션 트윈,341000원,골져스 플러스 킹 마운틴뷰,341000원,슈페리어 패밀리 트윈 (마운틴뷰 / Room Only),341000원,슈페리어 패밀리 온돌 (빌딩뷰 / Room Only),341000원,펫 더블 (포레스트뷰/Room Only),374000원,골져스 파셜오션 패밀리트윈,374000원
특급★당일특가★스카이베이호텔경포,강문해변차량2분,9,디럭스 더블 (레이크뷰 / 2인조식포함),0원,이그제큐티브 더블 (오션뷰),0원,이그제큐티브 트윈 (오션뷰),0원,이그제큐티브 트윈 (오션뷰 / 2인조식포함),0원,디럭스 트윈 (소나무or호수 전망 / 2~3층),308000원,[18시 늦은 체크인] 디럭스 트윈 (소나무or호...,308000원,디럭스 더블 (소나무 or 호수 전망/ 저층),400000원,디럭스 더블 (레이크뷰),400000원,,,,
특1급정동진썬크루즈호텔,정동진역차량5분,8.9,콘도형 디럭스 트윈 (공원뷰),0원,"(비치크루즈) 테라스트윈 저층형 (11층, 수영...",341000원,(비치 크루즈) 프라이빗 인피니티 풀빌라A,605000원,(비치 크루즈) 프라이빗 인피니티 풀빌라B,605000원,,,,,,,,,,,,
가족호텔★핫세일특가★파인아트라벨,강릉송정해변,9.4,패밀리 트윈 오션뷰,0원,[혼자만의 여행] 스탠다드 더블룸 전망없음,109000원,[단독특가] 스탠다드 더블룸 전망없음,110000원,[단독! 특가] 스탠다드 더블룸 하프오션뷰,135000원,[단독특가] 디럭스 더블룸 오션뷰,152000원,스탠다드 더블룸 하프오션뷰,169000원,트리플 벙커룸 하프오션뷰,189000원,디럭스 더블룸 오션뷰,209000원,디럭스 트윈룸 오션뷰,209000원,[멍이냥이룸] 트리플 벙커룸 하프오션뷰,209000원
4성급★파격특가★호텔탑스텐,안목커피거리도보5분,9.2,디럭스 패밀리 트윈 (전망 없음),440000원,,,,,,,,,,,,,,,,,,
비지니스올림피아호텔,정동진해변차량13분,8.9,스탠다드 더블,99000원,스탠다드 트윈,99000원,슈페리어 트윈,110000원,디럭스 트윈,120000원,스위트,250000원,,,,,,,,,,
비지니스경포대더호텔비즈니스,강릉역차량3분,9.5,디럭스 퀸 (원룸),99000원,가족룸 (거실1+침실),149000원,,,,,,,,,,,,,,,,
특급SL호텔강릉,강원강릉시안현동,9,디럭스 더블 시티뷰,160000원,디럭스 트윈 시티뷰,170000원,[2인 조식 패키지] 디럭스 더블 시티뷰,177000원,[무료뷰UP] 디럭스 트윈 시티뷰 → 디럭스 트...,182000원,[무료뷰UP] 디럭스 더블 시티뷰 → 디럭스 더...,182000원,[일출 패키지] 디럭스 더블 오션뷰,192000원,[2인 조식 패키지] 디럭스 트윈 시티뷰,195000원,디럭스 더블 오션뷰,209000원,디럭스 트윈 오션뷰,209000원,[로맨틱 윈터 패키지] 디럭스 더블 오션뷰,220000원
라카이샌드파인,주문진터미널차량4분,9.2,[조식 2인 패키지] 스튜디오 (가든뷰/더블),0원,[조식 2인 패키지] 듀오 (오션뷰 or 가든뷰 ...,0원,스튜디오 (비전망/트윈),210000원,스튜디오 (가든뷰/패밀리트윈),240000원,[조식 2인 패키지] 스튜디오 (비전망/트윈),260000원,[조식 2인 패키지] 스튜디오 (가든뷰/패밀리...,290000원,스튜디오 (가든뷰/더블),360000원,스튜디오 (호수뷰/패밀리트윈),360000원,스튜디오 스위트 (오션뷰 or 가든뷰 선착순배정),448000원,듀오 (오션뷰 or 가든뷰 선착순배정),680000원
비지니스강릉씨티호텔,경포해변도보5분,9.4,스탠다드 트윈,0원,[단독-2인 조식포함] 스탠다드 더블,0원,[단독-2인 조식포함] 디럭스 더블,0원,디럭스 트윈,175473원,디럭스 온돌,175473원,[단독-3인 조식포함] 디럭스 트윈,221000원,[S컬렉션] 프리미어 더블,224000원,[S컬렉션] 프리미어 발코니 더블,224000원,스탠다드 더블,300000원,디럭스 더블,350000원
