장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
강릉당신의안목펜션주문진점,주문진항차량4분,9.4,그라스 401,0원,브리에 401,0원,,,,,,,,,,,,,,,,
강릉까르디에펜션,사천해수욕장차량2분,9.7,A303(SPA),0원,A301(SPA),0원,A202(복층스파),0원,A203(SPA),189000원,A302(복층스파),190000원,A402(SPA),190000원,A401(SPA),230000원,,,,,,
강릉더퍼스트펜션,강원강릉시사천면사천진리,9.8,203호(스파/테라스),0원,201호(오션뷰/스파),0원,202호(오션뷰/스파),0원,401호(오션뷰/테라스/복층),0원,403호(하프오션뷰/스파/복층),0원,301호(오션뷰/스파/테라스),0원,,,,,,,,
경포오션힐펜션,강원강릉시안현동,9.8,"A201(복층,스파)",0원,"A302(복층,스파)",0원,"B205(복층,스파)",0원,"A203(복층,스파)",0원,"A204(복층,스파)",0원,"A401(복층,스파)",0원,"A304(복층,스파)",0원,"A303(복층,스파)",0원,"A402(복층,스파)",0원,"A403(복층,스파)",0원
풀빌라강릉더강문풀빌라&amp;스파,경포호차량5분,10,301호 풀빌라,0원,302호 풀빌라,0원,,,,,,,,,,,,,,,,
강릉쇼콜라펜션,강원강릉시사천면사천진리,9.8,302호,0원,304호(개별테라스),0원,303호,199000원,,,,,,,,,,,,,,
강릉KN하우스,경포해수욕장차량3분,9.8,2호,0원,1호,0원,3호,0원,5호,0원,6호,0원,,,,,,,,,,
풀빌라강릉미술시간풀빌라&amp;스파,강원강릉시사천면방동리,9.2,Junior suite T(스파오션뷰),0원,Junior suite R(스파오션뷰),0원,Mega suite(풀빌라+스파+오션뷰),0원,Standard(오션뷰),350000원,,,,,,,,,,,,
강릉지브스파,강원강릉시주문진읍주문리,10,302 (오션뷰),0원,303 (오션뷰),0원,304 (오션뷰),0원,301 (오션뷰),0원,305 (오션뷰),0원,401(오션뷰),0원,"402(스파,오션뷰)",0원,"404(스파,오션뷰)",0원,"503(스파,오션뷰)",0원,"501(스파,오션뷰)",0원
풀빌라류풀빌라&amp;펜션,강원강릉시옥계면금진리,9.9,Superior 302,0원,VVIP Poolvilla 401 (복층형),0원,Special 202,270000원,Superior 301,290000원,VVIP Poolvilla 403 (복층형),330000원,VVIP Poolvilla 402 (복층형),340000원,,,,,,,,
