장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
4성급유탑부티크호텔&amp;레지던스,상무역차량4분,9.4,[장기투숙-30박] 디럭스 레지던스 더블,66000원,디럭스 레지던스 더블,69000원,디럭스 부티크 더블,79000원,[에그에그 패키지] 디럭스 레지던스 더블,99000원,[맥주엔 먹태지! 패키지] 디럭스 레지던스 더블,109000원,[맥주엔 꼬치지! 패키지] 디럭스 레지던스 더블,109000원,[붉은악마 패키지] 디럭스 레지던스 더블,119000원,[커플 패키지] 디럭스 레지던스 더블,119000원,[스시벤또 패키지] 디럭스 레지던스 더블,120000원,디럭스 부티크 트리플,132000원
비지니스광주호텔B,5.18기념공원부근,9,체크인 시 배정 (룸온리),73000원,스탠다드 더블,83000원,디럭스 더블,103000원,디럭스 트윈,103000원,프리미엄 더블,113000원,디럭스 트윈 (킹+싱글),124000원,프리미엄 트윈,135000원,패밀리 스위트,280000원,,,,
곤지암리조트,곤지암터미널차량12분,9.7,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
비지니스탑클라우드호텔광주,광주광산구쌍암동,9.4,[룸 업그레이드] 코너 스위트→듀플렉스,0원,디럭스,70000원,코너 스위트,76000원,[룸 업그레이드] 코너 스위트→주니어 스위트,76000원,미들 스위트,79000원,주니어 스위트,85000원,패밀리 스위트 트윈,94000원,[30시간 스테이 패키지] 디럭스,95000원,주니어 스위트 듀플렉스,99000원,코너 스위트 듀플렉스,99000원
3성급광주CS관광호텔,상무역근처,9.5,[2인 조식 포함] 스탠다드 패밀리 트윈,80000원,[2인 조식 포함] 스탠다드 더블,80000원,[2인 조식 포함] 디럭스 패밀리 트윈,90000원,[2인 조식 포함] 디럭스 더블,90000원,[2인 조식 포함] 럭셔리 더블,120000원,[2인 조식 포함] 럭셔리 패밀리 트윈,130000원,[2인 조식 포함] 럭셔리 싱글 트윈,130000원,[2인 조식 포함] 프리미엄 패밀리 트윈,160000원,[2인 조식 포함] 프리미엄 온돌,160000원,,
비지니스광주어반라이프호텔,광주기아챔피언스필드5.3km,9.6,[1인 특가] 스탠다드,60000원,[2인 조식&도보특가] 스탠다드,60000원,스탠다드 (조식 2인),65000원,트윈 BED (2인 조식),70000원,[1인 특가] 프리미엄,70000원,[2인 조식&도보특가] 프리미엄,70000원,프리미엄 (조식 2인),75000원,스위트 (2인 조식),85000원,,,,
비지니스호텔더힐,유스퀘어광주터미널도보5분,9.8,스탠다드 더블,55000원,클래식 더블,60000원,디럭스 더블,65000원,프리미엄 더블,70000원,패밀리 트윈,70000원,,,,,,,,,,
비지니스광주벤틀리호텔상무점,돌고개역차량7분,8.8,비즈니스,60000원,디럭스,70000원,프리미엄,80000원,디럭스 트윈,80000원,프리미엄 트윈,110000원,,,,,,,,,,
비지니스광주워싱턴호텔,상무역도보7분,8.9,[조식 미포함] 디럭스 A,55000원,[조식 미포함] 슈페리어,88000원,[조식 미포함] 슈페리어 트윈,100000원,[조식 미포함] 스위트,130000원,,,,,,,,,,,,
비지니스에이치원호텔,문화전당역도보7분,9.5,디럭스 킹룸,104000원,패밀리 트윈룸,130000원,,,,,,,,,,,,,,,,
