장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
경기더케이플러스펜션,곤지암리조트차량3분,9.6,C301,0원,A201,0원,C202,100000원,C203,100000원,D101,120000원,D102,120000원,D103,120000원,D301,120000원,D302,120000원,D303,120000원
풀빌라K401독채펜션,곤지암리조트차량5분,9.4,STAY 2,300000원,STAY 1,400000원,,,,,,,,,,,,,,,,
퇴촌푸른솔펜션,경기광주시퇴촌면원당리,10,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
곤지암통나무펜션,장심리계곡도보1분,9.9,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
퇴촌뜰에산에펜션,천진암계곡차량3분,10,포도,120000원,레몬,120000원,오렌지,250000원,토마토,250000원,,,,,,,,,,,,
알파인펜션,곤지암리조트차량3분,10,101호,200000원,201호,200000원,,,,,,,,,,,,,,,,
경기곤지암반딧불펜션,곤지암리조트차량1분,9.1,핑크,120000원,옐로우,120000원,와인,120000원,룸_B,200000원,룸_A,200000원,룸_E,200000원,룸_C,200000원,룸_D,200000원,,,,
경기라르고펜션,곤지암리조트차량2분,9.5,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
경기샵테라스펜션,곤지암리조트차량3분,9.5,블루,240000원,카키,240000원,그린,240000원,스카이,300000원,,,,,,,,,,,,
광주산아래펜션,천진암계곡차량4분,10,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
