장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
3성급대구JB관광호텔,안심역차량9분,9.5,스탠다드 (조식포함 / 일요일 숙박고객 조식 ...,60000원,디럭스 (조식포함 / 일요일 숙박고객 조식 미...,70000원,프리미엄 (조식포함 / 일요일 숙박고객 조식 ...,80000원,프리미엄 더블+싱글 (조식포함/일요일숙박고...,100000원,한옥 일반실 온돌 (조식포함 / 일요일숙박 조...,120000원,스위트 더블+싱글 (조식포함/일요일숙박고객 ...,120000원,한옥 일반실 침대 (조식포함 / 일요일숙박 조...,120000원,스위트 더블+더블 (조식포함/일요일 투숙 조...,120000원,,,,
비지니스호텔피에드수성,고산역차량1분,9.8,스탠다드,90000원,슈페리어 트윈,120000원,디럭스,120000원,이그제큐티브,140000원,시그니처 프리미엄,160000원,스위트 패밀리,290000원,,,,,,,,
2성급아마레호텔,용계역차량8분,9.2,스탠다드,60000원,디럭스 (안마의자),70000원,디럭스 (안마베드),70000원,스페셜 (안마의자),80000원,프리미엄 (히노끼룸),90000원,이벤트룸 (노래방),140000원,이벤트룸 (수영장),140000원,,,,,,
5성급대구메리어트호텔,동대구역도보7분,9.7,디럭스 더블,231000원,디럭스 킹,231000원,[2인 조식 패키지] 디럭스 킹,286000원,[2인 조식 패키지] 디럭스 더블,286000원,[웰니스 2인 패키지] 디럭스 더블,308000원,[웰니스 2인 패키지] 디럭스 킹,308000원,[단독! 풀패키지 호캉스] 디럭스 킹,385000원,[단독! 풀패키지 호캉스] 디럭스 더블,385000원,[S컬렉션] 이그제큐티브 스위트,407000원,,
비지니스ACT관광호텔,대구스타디움차량3분,9.5,[1인 비즈니스 패키지] 수페리어 더블,80000원,[룸온리 패키지] 수페리어 더블,100000원,[룸온리 패키지] 수페리어 트윈,109000원,[룸온리 패키지] 프리미어 더블,109000원,[룸온리 패키지] 프리미어 패밀리,119000원,[룸온리 패키지] 이그제큐티브 더블,129000원,,,,,,,,
비지니스대구2월호텔더시그니처동성로점,중앙로역도보1분,9.2,시그니처 디럭스 테라스룸,0원,시그니처 디럭스,129000원,시그니처 디럭스 노하드2pc룸,149000원,시그니처 스위트 더블,168000원,시그니처 스위트 테라스,204000원,시그니처 스위트 투베드,252000원,시그니처 프리미엄 스위트 투베드,252000원,시그니처 루프탑 풀빌라 카라반 주니어 스위트,360000원,시그니처 로얄 풀 카바나 스위트,384000원,시그니처 루프탑 풀빌라 카라반 스위트,412000원
4성급엘디스리젠트호텔,반월당역7분,8.8,스탠다드 더블 (본관),129412원,스탠다드 트윈,141177원,디럭스 더블 W (신관),164706원,디럭스 더블 E (신관),176471원,디럭스 트윈,188236원,,,,,,,,,,
비지니스호텔여기어때서대구점,반고개역차량7분,9.2,스탠다드,65000원,디럭스,75000원,디럭스 트윈,85000원,프리미엄,85000원,스위트,95000원,프리미엄 (배틀그라운드&스파),95000원,스위트(노래방),125000원,,,,,,
가족호텔호텔수성,지산역차량4분,9.5,[1인 조식포함+2인 인피니티풀 무제한이용] ...,236900원,[1인 조식포함+2인 인피니티풀 무제한이용] ...,282900원,,,,,,,,,,,,,,,,
2성급엘리시아호텔,진천역차량7분,9.2,스탠다드,90000원,디럭스,100000원,VIP 트윈,130000원,스위트 트윈,150000원,로얄 트윈,170000원,,,,,,,,,,
