장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
2성급토요코인대전,정부청사역도보10분,9.3,싱글 (흡연),58000원,싱글 (금연),58000원,비즈니스 싱글 (흡연/1인 투숙),63000원,레지던스 싱글 (1인 투숙),77000원,트윈,88000원,레지던스 더블,88000원,스위트 더블,132000원,스위트 트윈,154000원,,,,
레지던스라미아호텔,정부청사역차량3분,8.6,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
4성급롯데시티호텔대전,대전컨벤션센터앞,9.6,[숙박불가(당일퇴실)-8시간휴캉스] 체크인 시...,96250원,[연말 미리예약특가-성심당 상품권] 헐리우드...,129250원,체크인 시 배정,130625원,[레이트버드 특가! 18시 체크인(연박불가)] ...,133375원,[레이트버드 특가! 18시 체크인(연박불가)] ...,133375원,[레이트버드 특가! 18시 체크인(연박불가)] ...,133375원,스탠다드 더블,137500원,스탠다드 트윈,137500원,헐리우드 더블,137500원,[장기투숙-14박 이상] 스탠다드 더블,137500원
레지던스대전레지던스호텔라인,정부청사역차량3분,9.5,스탠다드 더블,45000원,스탠다드 트윈,58000원,디럭스 패밀리 A,68000원,,,,,,,,,,,,,,
레지던스크리스탈레지던스호텔,한복거리차량2분,9,스탠다드,50000원,디럭스,60000원,한실,80000원,디럭스 더블,80000원,,,,,,,,,,,,
비지니스대전나무호텔,유성온천역도보10분,8.7,스탠다드 더블,55000원,스탠다드 트윈,65000원,,,,,,,,,,,,,,,,
비지니스라마다바이윈덤대전,유성온천역도보3분,9.5,스탠다드 트윈,91765원,헐리우드 킹,91765원,부티크 더블,91765원,[2인조식 패키지] 부티크 더블,135765원,[2인조식 패키지] 헐리우드 킹,135765원,,,,,,,,,,
비지니스호텔스카이파크대전1호점,현대프리미엄아울렛대전도보1분,9.5,[24시간이 모자라] 스탠다드 퀸,0원,스탠다드 퀸,79000원,스탠다드 트윈,79000원,[한미르 대덕 CC 골프 패키지] 스탠다드 퀸,99000원,디럭스 트윈,129000원,코너 디럭스 트윈,149000원,패밀리룸,169000원,,,,,,
1급스탕달호텔,유성온천역도보9분,9.4,슈페리어 더블 (모든요일 투숙시 조식 무료),113000원,레지던스 슈페리어 더블 (모든요일 투숙시 조...,113000원,디럭스 더블 (모든요일 투숙시 조식 무료),146000원,슈페리어 트윈 (모든요일 투숙시 조식 무료),155000원,프레지덴셜 스위트 펜트하우스 (모든요일 투...,690000원,,,,,,,,,,
5성급호텔오노마대전오토그래프컬렉션,정부청사역차량7분,9.6,프리미어 코너,0원,디럭스 더블,242000원,디럭스 트윈,242000원,[가을 연휴 특별 혜택] 디럭스 트윈,242100원,,,,,,,,,,,,
