장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
해운대송정오셔너스,송정해수욕장도보1분,9.2,온돌룸,0원,온돌룸,0원,오션디럭스,0원,오션디럭스,0원,오션디럭스,0원,오션스파(랜덤배정),0원,파티룸,0원,온돌룸,49000원,오션디럭스,79000원,오션디럭스,79000원
풀빌라부산타이드어웨이풀빌라,송정해수욕장도보6분,9.6,205 Ocean Deluxe (수영장없음),0원,204 Ocean Deluxe (수영장없음),0원,104 Infiniti Deluxe (수영장있음),0원,401 Ocean Suite (수영장있음),0원,102 Infiniti Deluxe (수영장있음),450000원,301 Ocean Terrace Suite (수영장있음),600000원,402 Ocean Suite (수영장있음),600000원,,,,,,
풀빌라해운대마린케이풀빌라펜션,해월정사차량8분,9.2,202_디럭스,0원,301_노천버블스파,0원,302_노천버블스파,0원,"401_복층,노천버블스파",0원,"402_복층,노천버블스파",0원,"801_복층,풀빌라",0원,201_디럭스,120000원,,,,,,
풀빌라부산그레이샌즈풀빌라,부산해운대구송정동,7.2,디럭스풀빌라301,0원,스위트풀빌라502,159000원,스위트풀빌라402,159000원,,,,,,,,,,,,,,
풀빌라해운대송정스카이풀빌라,송정해수욕장차량3분,9.9,"502 spa Villa(침대1,화장실1,거실)",0원,"B03 부티크Spa Villa(오픈원룸,침대1,거실,화...",0원,"B04 부티크Spa Villa(오픈원룸,침대1,거실,화...",0원,"B06 부티크Spa Villa(오픈원룸,침대2,거실,화...",0원,,,,,,,,,,,,
1872팡시온펜션,일광해수욕장차량3분,8.8,C201,110000원,B202,120000원,C202,140000원,B301 (복층 / BBQ 불가),150000원,A101,240000원,A201,240000원,C301,240000원,,,,,,
하루하우스,해동용궁사차량20분,10,[오션뷰-거실분리형원룸]A301호-BBQ옥상테라...,110000원,[거실분리형원룸]A202호-BBQ옥상테라스이용,110000원,[오션뷰-복층형]A402호-방1개(킹침대)욕실,140000원,[오션뷰-복층형]A401호-방1개(킹침대)욕실,140000원,[투룸복층형]A201호-방2개(킹침대2)욕실3개,230000원,[오션뷰-투룸복층형]A203호-방2개(킹침대2)욕...,260000원,[쓰리룸복층형]B302호-방3개(침대-퀸3)욕실3개,320000원,"[쓰리룸복층형]B301호-방3개(침대-퀸3,싱글2)...",350000원,,,,
송정스테이서몽,송정해수욕장차량2분,9.6,type 바람 302호,0원,,,,,,,,,,,,,,,,,,
기장비치하임펜션,부산롯데월드차량15분,9.2,A303호,110000원,B201호,130000원,B202호,130000원,A202호,150000원,B101호,450000원,,,,,,,,,,
풀빌라부산본레브연화리330풀빌라,부산기장군기장읍연화리,9.4,스탠다드405,0원,디럭스304,60000원,디럭스303,60000원,스탠다드404,120000원,스탠다드501,120000원,스탠다드503,120000원,스탠다드502,120000원,스탠다드504,120000원,스탠다드505,120000원,스탠다드401,120000원
