장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
5성급서울신라호텔,동대입구역5번출구도보5분,9.9,[LTA ROOM ONLY] 디럭스 더블,660000원,[LTA ROOM ONLY] 디럭스 트윈,660000원,[LTA ROOM ONLY] 비즈니스 디럭스 킹,720500원,[LTA ROOM ONLY] 비즈니스 디럭스 트윈,720500원,[LTA BED AND BREAKFAST] 디럭스 더블,760000원,[LTA BED AND BREAKFAST] 디럭스 트윈,760000원,[LTA ROOM ONLY] 그랜드 코너 디럭스,781000원,[LTA BED AND BREAKFAST] 비즈니스 디럭스 킹,820500원,[LTA BED AND BREAKFAST] 비즈니스 디럭스 트윈,820500원,[TA Urban Island] 디럭스 더블,847000원
특급페어필드바이메리어트서울,영등포역부근,9.3,[반나절 호캉스-숙박불가] 프리미어 체크인 ...,0원,[반나절 호캉스-숙박불가] 프리미어 체크인 ...,95000원,슈페리어 싱글 (조식불포함),97000원,[레이트버드 21시 체크인] 프리미어 (킹 / 조...,97000원,[레이트버드 21시 체크인] 프리미어 (싱글+싱...,97000원,[얼리버드 특가-17시 레이트 체크인] 프리미...,98000원,#Autumn Spot Sale# 프리미어 (킹 / 조식불포함),99000원,#Autumn Spot Sale# 프리미어 (싱글+싱글 / ...,99000원,#선착순! 고층배정# 프리미어 킹,102000원,[17시 체크인&13시 체크아웃] 프리미어 (킹 /...,103000원
특급★당일특가★더스테이트선유호텔,선유도역도보2분,9.4,슈페리어 더블 (샤워부스),0원,디럭스 패밀리트윈,0원,[루프탑 와인무제한 패키지] 슈페리어 더블 (...,0원,[단독! 13시 체크아웃] 슈페리어 더블 (욕조),99000원,[넷플릭스 이용] 슈페리어 트윈,118000원,슈페리어 더블 (욕조),124000원,[넷플릭스 이용] 슈페리어 더블 (욕조),129000원,[스테이크 SET 패키지] 슈페리어 더블 (욕조),189000원,,,,
3성급★당일특가★글래드강남코엑스센터,삼성역도보1분,9.4,[반나절호캉스-숙박불가] 할리우드 더블 (15...,0원,[반나절호캉스-숙박불가] 스탠다드 트윈 (15...,104500원,[반나절호캉스-숙박불가] 스탠다드 더블 (15...,110000원,[한정특가] 스탠다드 트윈,123000원,[한정특가] 스탠다드 더블,128000원,[MD픽! 메디힐 수분크림 1개 제공] 스탠다드 ...,132000원,[MD픽! 메디힐 수분크림 1개 제공] 스탠다드 ...,137500원,[조식 1+1 패키지] 스탠다드 트윈,154000원,[조식 1+1 패키지] 스탠다드 더블,159500원,,
4성급반짝특가호텔리베라,청담역도보5분,9.1,[S컬렉션] 디럭스 온돌,0원,[단독특가] 체크인 시 배정,111000원,슈페리어 더블,125000원,디럭스 트윈,125000원,슈페리어 트윈,130000원,럭셔리 트윈,140000원,패밀리 트윈,170000원,슈페리어 스위트,350000원,,,,
3성급JK블라썸호텔,증미역차량3분,9.2,비즈니스 트윈 (씨티뷰),60000원,슈페리어 트윈 (시티뷰),70000원,헐리우드 더블 (씨티뷰),70000원,프리미엄 비즈니스 더블 (리버뷰),70000원,슈페리어 더블 (리버뷰),80000원,스위트 (파티룸),110000원,디럭스 더블 (리버뷰),120000원,[주중 호캉스 훈제&맥주 무제한 패키지] 비즈...,150000원,[주중 호캉스 훈제&맥주 무제한 패키지] 슈페...,160000원,,
5성급노보텔스위트앰배서더서울용산,용산역3번출구도보3분,9.5,[S컬렉션] 주니어 스위트 (2싱글베드),258500원,디럭스 스위트,324500원,주니어 스위트,435600원,,,,,,,,,,,,,,
3성급반짝특가신라스테이마포,홍대입구차량10분,9.1,[숙박불가-Stay&Relax 9시간+Netflix] 체크인...,0원,[숙박불가-Stay&Relax 9시간] 체크인시 배정,92500원,[반짝특가! 무료 룸UP] 스탠다드→디럭스 더블...,113000원,[Room only] 스탠다드 트윈,126500원,[Room only] 스탠다드 더블,126500원,헐리우드 더블 (욕조 포함),126500원,[연말여행-룸UP&쿠팡이츠 1만원] 스탠다드 더...,126500원,스탠다드 패밀리 트윈,132000원,[Room only] 디럭스 더블,132000원,[Holy Moly Netflix 패키지] 스탠다드 더블,133375원
3성급신라스테이삼성,삼성역도보2분,9.2,[넷플릭스 OTT 패키지] 디럭스 트윈 (빌리지뷰),0원,[반나절 호캉스-숙박불가] 체크인 시 배정 (...,118700원,"[단독특가] 컴포트 레저 (65인치 TV, 모션베드)",155375원,[단독특가! 조식1+1] 컴포트 레저 (65인치 TV...,188375원,체크인 시 배정,190300원,[단독! Relaxing Night] 체크인 시 배정,201080원,[조식 2인 패키지] 스탠다드 트윈 (빌리지뷰),211200원,[24시간 스테이 패키지] 스탠다드 트윈 (빌리...,216700원,스탠다드 트윈 (빌리지뷰),217520원,[조식1+1 패키지] 체크인 시 배정,223300원
4성급골든서울호텔,서울강서구염창동,9,[단독특가] 스탠다드 트윈,79000원,[단독특가] 스탠다드 더블,85000원,인사이드 더블,89900원,스탠다드 싱글,99000원,스탠다드 더블,109900원,스탠다드 트윈,109900원,디럭스 트윈,149900원,스탠다드 트리플,159000원,[골든 인 크루즈 패키지] 디럭스 트윈,159900원,패밀리 트윈,239000원
