장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
풀빌라가평BROOK5(브룩5),자라섬차량13분,9.8,POOLVILLA 401,0원,STANDARD 303,186000원,STANDARD 103,186000원,STANDARD 503,186000원,STANDARD 304,199000원,STANDARD 302,199000원,STANDARD 404,199000원,STANDARD 504,199000원,STANDARD 204,199000원,STANDARD 502,199000원
풀빌라가평세인트21독채풀빌라,자라섬차량12분,9.4,207호(람블라),0원,205호(차일),249000원,204호(까미니또),269000원,312호(라우니온),269000원,313호(오차드),269000원,415호(이스티클랄),269000원,,,,,,,,
풀빌라대부도어스20(Us20),경기안산시단원구대부남동,8.8,A동_201,0원,B동_201,0원,A동_202,95000원,A동_102,95000원,A동_302,152000원,A동_301,152000원,단체펜션_3층,161500원,단체펜션_1층,190000원,단체펜션_2층,237500원,B동_302,256500원
양평에피소드706,상원계곡차량14분,9.9,episode 2,0원,episode 3,0원,episode 4,0원,episode 6,0원,episode 5,144000원,,,,,,,,,,
풀빌라가평여우가달을사랑할때(라구나펜션),남이섬차량21분,9.4,글램핑(투베드)(기준3인)(랜덤배정),0원,커플A(제트스파)(기준2인),109000원,커플B(제트스파)(기준2인),109000원,글램핑(투베드)(기준3인)(랜덤배정),139000원,글램핑(투베드)(기준3인)(랜덤배정),139000원,여우의정원(풀빌라)(기준2인),300000원,,,,,,,,
풀빌라양평그랑아치풀빌라,경기양평군개군면주읍리,10,Arch_FOUR,0원,Arch_TWO,353400원,Arch_THREE,353400원,,,,,,,,,,,,,,
대부도와우펜션,누에섬차량5분,9.8,[커플/스파/안마기]2층,0원,[스위트룸]1층,0원,[스위트룸/스파/노래방]독채,0원,[커플/스파]3층,162000원,,,,,,,,,,,,
을왕리시드니펜션,왕산마리나차량9분,9.9,203호,0원,501호,60000원,602호,60000원,603호,60000원,502호,60000원,503호,60000원,601호,60000원,701호,270000원,,,,
풀빌라양평초록밤풀빌라,문호리버마켓차량15분,9.4,별님1호(POOL),190000원,별님3호,190000원,초록2호(POOL),190000원,초록3호,190000원,달님2호(POOL),190000원,달님3호,190000원,달님1호(POOL),190000원,,,,,,
풀빌라가평릴리브풀빌라,아침고요동물원차량7분,9.8,풀빌라_102,270000원,풀빌라_202,270000원,,,,,,,,,,,,,,,,
