장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
3성급이비스앰배서더수원,수원시청역도보3분,9.1,슈페리어 트윈 (Room only),160000원,[Late Out Promotion] 슈페리어 더블 (14시 ...,170000원,주니어 스위트 (욕조없음),187000원,주니어 스위트 (Room only),209000원,,,,,,,,,,,,
1성급수원도노1796,수원화성도보3분,8.7,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
관광수원세인트호텔,서수원시외버스터미널앞,9.2,[22시 체크인] 디럭스,180000원,[22시체크인] OTT룸(디즈니+/넷플릭스/티빙),200000원,[18시 체크인] 디럭스,210000원,[22시 체크인] 트윈룸,220000원,[22시 체크인] 풋스파룸,220000원,[22시 체크인] 프리미엄,220000원,[18시체크인] OTT룸(디즈니+/넷플릭스/티빙),230000원,[18시 체크인] 트윈룸,260000원,[18시 체크인] 풋스파룸,260000원,[18시 체크인] 프리미엄,260000원
비지니스벨라스위트호텔,수원시청역도보2분,9.5,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
3성급호텔아르떼(HotelArte),수원버스터미널차량9분,9.5,방이 꽉 찼습니다.,,,,,,,,,,,,,,,,,,,
4성급라마다프라자수원,수원시청역부근,9.3,슈페리어 더블,242000원,슈페리어 더블 (2인조식포함),275000원,,,,,,,,,,,,,,,,
비지니스에스스테이호텔,수원역도보9분,9.6,디럭스 더블,119000원,,,,,,,,,,,,,,,,,,
레지던스수원역아이비스테이호텔,수원역도보5분,9.6,[1인 도보특가] 더블,94500원,[도보특가] 디럭스 더블,100000원,디럭스 더블,111200원,프리미엄 더블,133400원,복층 스위트,167000원,,,,,,,,,,
4성급코트야드메리어트수원,광교중앙역도보10분,9.7,[주차불가 핫딜] 프리미어 킹,297000원,프리미어 킹,330000원,[주차불가 핫딜-조식포함] 프리미어 킹,330000원,[컬러풀 스테이케이션-드로잉체험] 프리미어 킹,341000원,[2인 조식 패키지] 프리미어 킹,363000원,[아쿠아 패키지-조식포함] 프리미어 킹,385000원,[2인 라운지 패키지] 이그제큐티브 프리미어 킹,418000원,,,,,,
비지니스탑클라우드호텔수원,수원화성차량3분,9.4,[30H STAY I TYPE] STYLER DELUXE(금연객실),0원,[30H STAY II TYPE] STANDARD (금연객실),0원,STANDARD A (금연객실),65000원,STANDARD B (금연객실),65000원,STANDARD C (금연객실),65000원,,,,,,,,,,
