장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
3성급스타즈호텔울산,태화강역차량2분,9.6,[리오픈 특가] [언택트체크인] 스카이 스탠다...,0원,[리오픈 특가+조식2인][언택트체크인] 스카이...,63000원,[리오픈 특가] [언택트체크인] 패밀리 트윈,66500원,[언택트체크인] 스카이 스탠다드 더블,70000원,[언택트체크인] 패밀리 트윈,95000원,[리오픈 특가] [언택트체크인] 스위트,105000원,[언택트체크인] 스위트,150000원,,,,,,
레지던스호텔리버사이드울산,태화강도보1분,9.6,디럭스 (저층하프뷰),65000원,[25시간스테이 & 무료룸UP] 슈페리어→디럭스,66500원,[27시간 스테이 특가-웰컴드링크2잔] 슈페리어,66500원,[한정특가] 슈페리어,66500원,[단독! 무료 룸UP] 슈페리어→The Party 4인테...,70000원,[비즈니스 안심 패키지] 슈페리어→디럭스 (무...,72000원,디럭스,105000원,The Party 4인테이블,125000원,[특가] 스위트,310000원,,
3성급신라스테이울산,울산남구달동,9.3,[반나절 호캉스-숙박불가] [4시간숏캉스] 스...,47850원,[반나절 호캉스-숙박불가] [객실 6시간 이용]...,59800원,[반나절 호캉스-숙박불가] [8시간숏캉스] 스...,67800원,스탠다드 체크인 시 배정,77000원,스탠다드 더블,79750원,스탠다드 트윈,79750원,[Relaxing Night] 스탠다드 더블,79750원,[스마트 스트리밍 패키지] 스탠다드 더블,82750원,[스마트 스트리밍 패키지] 스탠다드 트윈,82750원,디럭스 더블,85250원
3성급롯데시티호텔울산,울산남구달동,9.5,스탠다드 더블,77000원,스탠다드 트윈,77000원,[스마트 TV 패키지] 스탠다드 더블,77000원,[스마트 TV 패키지] 스탠다드 트윈,77000원,[1인 조식 패키지] 스탠다드 더블,95000원,스탠다드 패밀리 트윈,104500원,[스마트 TV 패키지] 스탠다드 패밀리 트윈,104500원,[2인 조식 패키지] 스탠다드 더블,113000원,[2인 조식 패키지] 스탠다드 트윈,113000원,디럭스 더블,121000원
4성급호텔현대바이라한울산,일산해수욕장차량5분,9.5,디럭스 트윈 (수영장 2인 1회 포함),95000원,디럭스 더블 (수영장 2인 1회 포함),95000원,[연박할인] [무료 룸UP] 디럭스 더블→프리미...,95000원,[연박할인] 디럭스 트윈 (수영장 2인 1회 포함),95000원,[24시간 스테이 패키지] 디럭스 더블 (수영장...,105000원,[24시간 스테이 패키지] 디럭스 트윈 (수영장...,105000원,프리미엄 디럭스 더블 (수영장 2인 1회 포함),115000원,[조식&수영장 2인 패키지] 디럭스 더블,139000원,[조식&수영장 2인 패키지] 디럭스 트윈,139000원,프리미엄 스위트 (수영장 2인 1회 포함),145000원
비지니스울산브라운도트장생포항구점,울산시외버스터미널차량15분,9.8,스탠다드 더블 시티,60000원,디럭스 더블 시티 (넷플릭스 서비스 제공),70000원,디럭스 더블 오션 (넷플릭스 서비스 제공),85000원,디럭스 트윈 오션 (넷플릭스 서비스 제공),95000원,디럭스 패밀리 트윈 오션 (넷플릭스 서비스 ...,110000원,테라스 스위트 (넷플릭스 서비스 제공),130000원,,,,,,,,
4성급머큐어앰배서더울산,울산공항차량22분,9.5,슈페리어 트윈 (파셜오션뷰),138636원,슈페리어 더블 (파셜오션뷰),150000원,슈페리어 패밀리 (파셜오션뷰),175000원,프리빌리지 더블 (정면오션뷰),212500원,프리빌리지 패밀리 (정면오션뷰),237500원,,,,,,,,,,
비지니스울산커스텀호텔,태화강역차량3분,9.6,디럭스 트윈,100000원,패밀리 트윈,120000원,패밀리 스위트 & 스파,300000원,,,,,,,,,,,,,,
3성급울산에쉬튼호텔,태화강역차량13분,9.8,스탠다드 싱글,60000원,[무료 룸 업그레이드] 스탠다드 싱글→스탠다...,60000원,[장생포 고래 패키지] 스탠다드 싱글,65000원,스탠다드 더블,70000원,[무료 룸 업그레이드] 스탠다드 더블→슈페리...,70000원,[장생포 고래 패키지] 스탠다드 더블,75000원,슈페리어 더블,80000원,[무료 룸 업그레이드] 슈페리어→패밀리 트윈,80000원,슈페리어 트윈(싱글+싱글),80000원,[장생포 고래 패키지] 슈페리어 더블,85000원
가족호텔키즈호텔상상플레이등억점,울산역차량14분,10,키즈 VIP 히노끼 온돌,100000원,키즈 VIP 벙커,140000원,키즈 VIP 트윈,160000원,키즈 프리미엄 트윈,180000원,키즈 VIP 복층,200000원,,,,,,,,,,
