장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
울산머물곶펜션&amp;카라반2호점,진하해수욕장차량5분,10,패밀리 카라반,0원,"머물, 곶 스위트",500000원,,,,,,,,,,,,,,,,
울산간절그곳펜션,간절곶차량7분,9.6,203호,120000원,302호,150000원,301호,150000원,,,,,,,,,,,,,,
풀빌라울산히든베이풀빌라,강동몽돌해변차량6분,9.9,A104(개별실내풀),0원,B202(개별루프탑풀),0원,C301(개별루프탑풀),0원,,,,,,,,,,,,,,
풀빌라울산비클래시키즈풀빌라간절곶점,울산울주군서생면대송리,9.3,D-101,0원,D-201,0원,,,,,,,,,,,,,,,,
울산간절곶뷰펜션,간절곳차량3분,9.6,302호 (침대),50000원,2F,120000원,3F,120000원,,,,,,,,,,,,,,
풀빌라울진베아트리스풀빌라,후포해변차량5분,9.7,풀빌라106호,0원,일반 202호,130000원,,,,,,,,,,,,,,,,
팜하우스,간절곶도보9분,9.4,102,80000원,104,80000원,201,120000원,202,120000원,204,120000원,205,120000원,팜4,160000원,팜7,160000원,팜5,180000원,팜6,180000원
울산에스티210,정자항차량4분,9.8,302호,210000원,301호,210000원,303호,310000원,,,,,,,,,,,,,,
울산머물곶펜션&amp;카라반,진하해수욕장차량6분,9.8,302호,0원,,,,,,,,,,,,,,,,,,
울산나디아펜션,진하해수욕장차량9분,9.4,a201,100000원,a202,100000원,a203,130000원,b201,130000원,b202,130000원,b301,130000원,b302,130000원,,,,,,
