장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
풀빌라대부도일루아펜션,목섬차량5분,8.3,오션204(스파),0원,오션303(복층/스파),0원,오션103(스파),81100원,오션304(복층/스파),127000원,디럭스(복층/스파),171000원,펜트하우스A(투룸/복층/스파),252000원,풀빌라(투룸/수영장/스파),350000원,그랜드펜트하우스(독채룸4),604000원,,,,
글램독영흥도,인천옹진군영흥면외리,9.1,205,0원,305,0원,301,109000원,,,,,,,,,,,,,,
강화요정들의선물펜션,동막해수욕장차량3분,8.4,꽃의요정,100000원,숲속의요정,100000원,바다요정(스파),120000원,별빛요정(하절기에만스파),140000원,,,,,,,,,,,,
을왕리별자리펜션,용유도해변차량5분,9.1,[나동]201호(침대방),60000원,[나동]202호(침대방),60000원,[다동]201호(침대방),60000원,[다동]202호(침대방),60000원,[가동]101호(침대방),80000원,[가동]102호(침대방),80000원,[나동]203호(침대방),80000원,[다동]203호(침대방),80000원,[가동]201호(단체룸),250000원,"[나동]101호(단체룸, 침대방)",250000원
강화예플로펜션,전등사차량18분,9,구름,80000원,노을,130000원,달무리,130000원,미리내,130000원,솔향,130000원,,,,,,,,,,
대부도미림펜션(본관),장경리해수욕장차량1분,7.8,102호,100000원,103호,100000원,104호,100000원,105호,100000원,106호,100000원,101호,100000원,107호,120000원,본관2층,320000원,본관단체,390000원,,
강화그랑블루펜션,매화마름차량12분,10,단체룸,0원,커플룸B,73000원,커플룸A,73000원,둥실둥실(오션뷰1호 복층),89000원,오손도손(오션뷰2호 복층),89000원,알록달록(오션뷰4호 복층),89000원,반짝반짝(오션뷰5호 복층),89000원,,,,,,
풀빌라선재해림풀빌라&amp;카라반,인천옹진군영흥면선재리,9.6,라온 501,0원,라온 601,0원,,,,,,,,,,,,,,,,
강화에코스파펜션글램핑,전등사차량11분,9.9,"물망초(2층,스파)",0원,"아네모네(2층,스파)",0원,"글램핑2(빔프로젝트 구비O,가족4인입실)",0원,"라일락(1층,스파,가족4인입실)",0원,"글램핑1(빔프로젝트 구비O,가족4인입실)",0원,글램핑3(빔프로젝트 구비O),0원,,,,,,,,
선재도리틀미코노스,인천옹진군영흥면선재리,8.6,202동302호(개별바베큐),0원,101동202호(스탠다드A),110000원,104동101호(스탠다드A),110000원,101동101호(개별바베큐),120000원,101동201호(개별바베큐),120000원,101동302호(개별바베큐),120000원,107동101호(개별바베큐),120000원,102동201호(스탠다드B),120000원,102동302호(스탠다드B),120000원,304동302호(스탠다드B),120000원
