장소,위치,별점,방1,가격1,방2,가격2,방3,가격3,방4,가격4,방5,가격5,방6,가격6,방7,가격7,방8,가격8,방9,가격9,방10,가격10
제주라임펜션,제주특별자치도제주시도두일동,9.7,라임온돌,0원,,,,,,,,,,,,,,,,,,
제주바다의향기펜션,올레길10코스차량2분,9,소라 3(오션뷰),0원,소라 6(오션뷰),63300원,소라 2(오션뷰),63300원,소라 4(오션뷰),63300원,소라 5(오션뷰),63300원,,,,,,,,,,
제주가까이에소리펜션,이호테우해변차량9분,9.6,가족룸1,100000원,,,,,,,,,,,,,,,,,,
서귀포향림원펜션,정방폭포차량5분,9.3,10평형2,40000원,15평형,50000원,20평형1,60000원,20평형2,60000원,20평형3,60000원,23평형,70000원,,,,,,,,
풀빌라서귀포대정시크릿풀빌라,제주특별자치도서귀포시대정읍영락리,8.9,리조트 스탠다드룸 B 302,0원,리조트 스탠다드룸 A 301,0원,리조트 스탠다드룸 B 304,0원,리조트 스탠다드 더블룸 B 204,0원,리조트 스탠다드 더블룸 B 202,0원,리조트 스탠다드룸 A 303,80000원,리조트 디럭스 더블룸 B 201,104000원,리조트 디럭스 더블룸 A 201,104000원,A-type1,210000원,A-type2,210000원
제주틴더타운,제주특별자치도제주시구좌읍행원리,10,HOUSE 7,0원,HOUSE 4,120000원,HOUSE 8,270000원,HOUSE 1,290000원,HOUSE 6,290000원,HOUSE 10,290000원,HOUSE 9,290000원,HOUSE 2,380000원,,,,
풀빌라세도나중문풀빌라,제주특별자치도서귀포시색달동,9.7,C타입,0원,A타입,310000원,B타입,310000원,,,,,,,,,,,,,,
풀빌라아쿠아뷰티크,월정리해변차량1분,9.6,퀸베드 미니풀빌라 독채-조식 포함,270000원,패밀리형 미니풀빌라-조식 포함,310000원,,,,,,,,,,,,,,,,
풀빌라사무이제주풀빌라,애월해안도로차량4분,10,A타입,0원,B타입,0원,,,,,,,,,,,,,,,,
풀빌라서귀포스마트풀빌라,제주특별자치도서귀포시표선면세화리,10,스윗가든스파,0원,스탠다드테라스스파,87410원,프리미어 가든스파,148580원,로얄 풀빌라,200430원,플래티늄풀빌라,253800원,,,,,,,,,,
